CELL	CD52	Ifitm1	Cdkn3	Ly6a	Bax	Aebp2	CD63	Cdkn2a	Cdkn2c	CD48	Pax5	Gapdh	Cdkn2d	Hes5	Id2	CD9	Sfpi1	Fcgr3	Cdk4	Pax4	Cdkn2b	Cbx8	Fcgr2b	Bad	Fas	Klf1	Ccnb2	Ccna1	Ifi205	Lmo2	Ndn	Rora	Tnfsf12	Fosl1	Gfi1b	Trp53	Gata1	Lyl1	Epor	Mbd2	Actb	Cdkn1a	Cdkn1c	Ccnd3	Max	Ccne1	Prf1	Cdk5	Eed	Tgfb1	Cdc42	Tnfrsf1a	Erg	Hey1	Tcf7	Ebf1	Cdk2	Tob1	Ldb1	Ccnb1	Sell	Bcl2l1	Myc	Cdkn1b	Cdk2	CD34	CD55	Pax9	Casp8	Mycn	Cebpa	Ezh2	Akt1	CD53	Ccna2	Irf8	Cdk1	Gfi1	Foxo3	Mpl	Akt2	Foxl1	Muc13	Stat4	Ar	Ccne2	Cycs	Sdpr	Fli1	Zbtb20	PIk3R2	Il7R	Gata3	Gata2	Tcf3	Pecam1	Meis1	Zfpm1	Tgfb3	Ccnc	Myb	Bcl11a	Lin28a	ETS2	Bmi1	Ifi203	Tnfrsf21	Ctnnb1	Flt3	Dtx1	Cbx2	Ccnd1	Stat6	Csf1r	Casp9	Pbx1	Dnmt3b	Zbtb38	Nfkb1	Irf6	Tal1	Esr1	Zhx2	Stat3	Suz12	Ccnb3	Plag1	Rb1	Tek	Irf4	Tgfb2	Akt3	Bcl2l11	Zfp612	Ikzf1	Tnfrsf1b	Tfrc	Tnfsf10	ETS1	Etv3	Stat1	Kit	Dach1	Dnmt1	Brd3	Kdr	Ahr	Zfp532	Etv6	Foxo1	Hlf	Klf12	Ccnd2	Dtx4	Runx2	Mllt3	Satb1	Smarca4	Runx1	Foxp1	Bcl2	Mll5	Tcf4	Bcl11b	Pten	Ep300	vWF	PIk3ca	Sos1	Ikzf2	Notch1	Nfia	Dnmt3a	APC	Nfat5
HSC1	6.479619558	11.68853271	0	10.41702615	6.911607733	6.552134119	9.254820096	0	0	0	0	7.76066055	6.319808816	0	0	7.940508848	7.76226979	0	7.75005689	0	0	0	0	0	0	0	0	6.23144693	0	11.18374883	10.38196336	11.33245361	6.198526079	5.783987288	0	10.10782351	0	9.719533398	4.322451247	8.554013186	14.56042713	0	0	9.269463555	6.383587993	0	0	0	11.64755439	3.820919279	10.5897301	9.541975842	10.27617589	2.919049882	0	0	8.195774335	3.663850975	11.44493807	0	0	9.698021051	8.681189666	3.566132125	0	9.289762908	6.005275039	0	9.762864422	9.756028916	8.387003206	0	7.732479206	8.409514902	3.351323051	0	0	0	8.092086078	11.00774209	3.513313322	0	8.715403109	9.862922616	0	0	9.094507989	0	10.32013498	8.247134099	10.65053845	0	7.53605292	0	2.296073701	0	9.204400028	0	8.161780658	0	11.73416842	8.999304716	0	0	3.746120047	11.93193761	0	7.321223198	9.600138284	0	0	7.888075564	0	7.499814573	0	0	9.507232128	9.396828562	4.411876751	4.19282571	0	10.43250161	7.651326584	10.37361218	8.30415498	0	0	8.621783534	0	8.048114454	0	8.052021815	0	6.36389755	8.108914494	8.267390912	0	0	0	0	1.527639001	10.97720346	5.628180451	8.853292203	7.125019952	0	0	0	11.02227298	5.166500282	11.66058771	0	0	0	7.586057234	7.016359897	0	9.149642753	7.639256457	3.251993682	0	0	10.07503561	0	9.215919089	8.167077487	0	8.63430369	6.719317229	8.47777803	0	0	0	6.076085739	9.540896473
HSC1	0	11.39068225	0	11.45214498	10.20115689	6.141924801	8.906508965	0	9.663323289	0	0	11.09112293	9.524511929	0	0	9.845776768	10.01804601	0	10.81420499	0	0	0	0	0	0	0	9.751333571	0	0	11.21833273	10.64477572	0	0	0	10.00886592	10.83494441	4.977227327	7.38862409	1.593632334	9.231691934	14.88774035	11.20101722	0	12.19407744	8.181653913	0	0	0	11.49789589	2.288661982	12.60333274	10.68458758	11.30788637	0	0	0	10.48205342	0	11.58558012	8.175379971	0	9.547743634	12.0842185	5.47463562	8.893281302	7.428634797	1.674802428	0	11.17280105	12.39428744	0	10.20047315	9.317839593	0	0	0	10.97873612	0	8.10583464	11.64651358	6.284470768	0	10.21386943	9.815638773	0	10.07908702	11.23206569	2.662826543	12.37842797	0	9.632571091	0	7.131491436	7.563449204	6.286786678	0	9.490268661	8.743547419	0	10.78561268	12.23044623	0	1.203213258	9.060645454	8.681284079	11.99236689	8.369176906	6.992929196	0	0	0	10.05411584	10.20200611	0	0	0	8.601911118	7.720241727	3.509934907	1.429739379	3.413846792	0	0	9.908043444	11.17523051	0	6.902102851	9.246190022	0	0	0	9.385911102	7.714095126	0	9.783973664	6.969411915	9.992733516	0	9.55716716	0	3.244200483	12.07119357	9.767664759	11.36177968	9.078383803	0	9.786228027	0	11.77430479	0	12.11494256	8.018797231	0	0	6.053426283	0	0	10.35355338	10.36072617	0	6.645013922	0	7.9556786	3.284357201	10.19435613	9.053825057	5.200086039	8.474203251	7.093764486	9.50648948	0	10.96528361	8.631792383	0	8.270207743
HSC1	0	10.56184433	0	0	0	3.055424751	8.476436888	5.299092803	8.65661659	0	0	6.898407748	9.935714807	0	8.697253271	0	0	10.19670102	0	0	9.525574664	7.332871906	10.60033812	10.65288292	0	9.528670799	0	0	0	7.973862993	10.29609172	0	0	10.28891433	7.263042059	9.89332201	9.288264696	8.241277744	4.628450351	0	12.31739225	9.076223391	0	10.45724826	9.87219824	10.41839578	8.633494686	9.950696398	10.42694544	6.665193676	11.3652081	0	0	5.27270074	7.984868724	0	0	6.729934005	4.367061716	11.3454503	0	9.648146029	0	4.410251477	0	0	9.344787829	8.579100284	8.869437123	8.42846477	9.296680179	0	0	0	9.06358614	10.36157471	8.635495322	7.931435331	9.244794108	8.322730114	7.236000195	0	0	0	0	9.568517713	12.75134948	0	0	8.382620274	0	1.181011743	5.781838198	8.589452452	0	0	0	0	10.90044933	8.539011908	0	10.28790644	6.374186919	9.202959223	0	10.74479983	0	2.350383591	0	6.622597476	5.687342316	9.378148865	0	0	11.05999403	6.480597712	6.728736855	9.080912126	0	6.185015667	0	10.62234641	10.54938953	0	10.10270655	0	10.99243709	10.19902888	0	0	10.61057073	9.11910913	10.96813356	6.011051111	0	10.64340587	9.909207412	9.128865867	8.083547682	6.835665056	0	0	0	10.27108475	0	0	0	0	9.110440311	10.1319835	0	8.974046142	0	11.24495248	5.389133989	1.295371707	0	0	8.444848281	0	6.369891956	0	2.769294393	0	10.52428256	8.515154273	0	0	0	9.745258921	0	0	9.287219324	8.471815076	6.885304542
HSC1	5.550050917	11.87429508	0	8.158839505	9.396073241	6.16147017	8.68190515	0	8.246513254	0	0	11.16030091	5.896501199	0	0	6.690344159	0	1.57609214	4.090641593	0	0	0	0	0	0	7.680422225	0	0	0	11.70354816	8.600620973	0	0	0	0	9.935311473	3.406864087	1.339127061	3.38567187	9.220946865	14.91284256	9.579549647	0	10.92755899	8.415384668	5.403729691	3.00908927	6.926488579	10.76486229	0	11.72087684	8.843378733	10.37507162	0	5.987080236	0	7.86009095	6.751508433	11.44887181	6.069271344	9.76589879	8.628988005	9.316562514	5.254952133	6.04516586	9.969783581	5.977844706	0	8.845786935	4.57197641	7.365318392	8.664227247	9.05321615	8.324602416	7.931304299	0	6.755743328	6.960132778	7.04590955	10.83320897	4.451878748	0	11.0366404	9.24792481	0	0	9.458554321	0	11.20824445	8.82816046	10.28192707	0	6.388609449	8.153440361	7.745594072	0	9.734128846	0	8.420462907	8.630438275	11.83906811	4.319337568	2.148546239	8.463057607	5.756118034	12.58485229	8.373981759	5.308825186	10.22663222	0	0	2.58094336	9.691732983	1.131264039	7.69195723	0	10.18646595	8.292925093	0	0	3.444255334	10.71551017	5.340531306	11.39841106	8.3770241	0	8.035031331	8.294721101	0	0	9.517650412	9.296197163	6.246503836	0	6.676581195	9.349935713	10.8809896	6.619679198	9.072738802	4.944232309	2.502741633	12.10546348	0	10.50024998	7.116437503	0	6.904685952	3.537367915	10.70798924	0	11.93622678	4.704338781	0	9.236176107	6.706006106	1.604252976	6.467343472	11.12169152	0	0	0	0	8.638069465	0	9.451508244	9.634797328	4.956479389	9.958880927	7.139880515	10.26973043	0	10.14698509	9.819453612	0	7.741573311
HSC1	0	8.976571064	8.293615527	8.945881692	0	5.465362101	7.522325424	0	0	0	0	9.71580063	7.869819047	6.041168726	8.801910326	9.17663204	10.39529621	0	7.142625788	0	0	0	0	0	0	0	12.49713875	9.299364509	0	10.58710905	9.458517487	9.201415915	0	8.610935468	9.616645894	11.06115743	0	8.119141238	4.864827116	9.068805324	14.99362773	0	0	9.931149385	9.364466559	0	0	8.983826703	10.70814565	6.567061081	12.56173035	8.493369359	11.49198295	0	0	0	8.771240741	9.277550919	11.72557705	10.22361595	9.649987973	9.129936456	8.339217333	4.493115568	0	7.505706599	0	1.716765159	10.028212	9.856670746	6.211718174	9.071131236	9.030788769	0	7.474128014	8.394849623	10.26426088	0	7.634639143	10.64422525	4.693233851	0	8.983454485	9.045332501	0	0	8.724123212	0	10.89025246	7.532653214	8.890714154	0.795257972	8.658691963	7.683887625	0	1.792120344	9.219351846	0	8.514988245	5.08663819	11.74901606	6.132571448	8.19412823	7.845951978	7.077060098	12.89069326	0	3.294960964	0	0	0	0	10.31218385	0	0	0	8.824768846	9.243223326	0	0	0	8.003491442	2.658045485	10.28311454	8.564285029	0	5.780014141	0	7.155295457	0	0	8.758475087	3.436333643	7.563039671	8.061355974	0	0	0	0	4.544445165	1.652668481	11.53545204	9.065153808	0	7.26203424	0	0	2.015725644	10.35522667	0	11.6129271	0	0	0	5.23776885	0	0	10.7557936	0	0	0	0	10.4442639	0	8.675962972	8.717404452	0	9.53422009	6.484983594	7.387262371	6.791241878	0	6.436244488	8.279873094	8.973947157
HSC1	0	13.01407563	0	10.7854681	9.91166541	6.149248857	9.72740394	0	0	0	0	9.541487889	6.520957703	0	0	8.875731972	9.270703593	0	8.124655847	0	0	0	0	0	0	0	0	0	0	11.9491893	9.19116945	8.426851897	0	0	0	10.51615655	3.622521552	3.686749491	4.734729895	8.125836353	14.67967223	11.50288446	5.635165045	11.09190791	8.48332708	0	0	6.295303309	10.32200605	0	11.97306718	8.63882546	10.3674559	0	0	0	8.977207806	6.2578253	10.95543942	0	0	7.721310453	11.28400379	2.106635465	6.17408269	7.722448977	8.597672015	0	9.279477594	10.78328436	0	9.028152811	9.200582113	9.158914213	0	2.203916177	0	7.79220942	6.618900434	10.73522186	0	0	0	9.181291549	0	6.987050265	10.15200003	0	10.44673576	9.205440731	0	0	7.066267326	0	0	7.412250389	9.064269218	0	0	0	10.48346375	7.380635218	3.628882562	0	8.095093717	11.41014481	9.779156656	7.648661575	0	0	0	8.415407186	8.530598403	0	6.889926851	0	9.04484774	9.352771707	0	4.212012836	0	0	9.527347595	10.54209372	10.19138438	0	9.299993381	11.09531954	9.084702591	0	0	8.415628098	0	0	9.697063621	8.313745162	0	6.719801153	7.903540644	4.379139834	0	12.0372078	10.23674765	9.577353956	9.920080756	0	0	0	11.1272129	6.841456298	11.11587248	9.173225575	0	6.871874747	5.331137982	8.246350837	1.410631098	11.58512546	8.984180378	0	0	0	10.2386238	0	8.456689604	7.817264717	0	7.196830767	0	10.37085138	0	10.67080888	7.57549576	7.528959284	9.370852902
HSC1	0	11.61925727	0	9.430297919	9.844794558	5.388675233	9.754491116	4.408248656	0	0	0	11.54787159	8.800484165	0	7.01301663	8.365362409	9.805274169	1.71719772	0	3.269585801	0	0	0	0	0	0	0	0	0	11.72841673	0	0	0	0	0	10.35535428	8.170873196	6.873616995	0.516968801	8.576704984	14.94164975	0	0	9.860436222	7.669389863	0	0	0	11.59780369	0	11.64479941	8.99277972	10.29283532	0	0	0	9.345210342	0	11.74462884	0	0	9.307727317	6.874781245	3.568359911	7.244360313	0	4.688095566	0	9.467410562	10.45854468	0	7.629267606	8.429621392	0	0	5.224760252	0	0	8.540999473	10.48586327	5.930186062	0	9.864345425	8.543992914	0	1.5377473	10.1683523	0	11.02413272	9.776986633	9.132999487	0	7.77467951	6.820755435	0	6.108988297	9.729386475	0	0	10.69376413	12.08931527	8.292553297	4.710038491	8.227138011	6.459153298	11.73762699	0	7.059747987	0	0	5.8373241	5.559615974	7.080223957	7.830868096	9.091927098	4.455308833	9.060677119	9.294758753	0	0	0.251776358	0	9.344769758	8.401883773	10.0667384	0	0	10.45734497	7.081301551	0	0	7.838998048	0	7.05298183	9.00718386	3.864168046	0	0	5.319261593	0	3.175699319	11.52391985	0	0	4.90306149	0	0	0	11.08957016	8.310505758	12.13214777	0	0	7.371260207	6.564794667	6.596426455	9.138027304	10.658265	8.790576161	1.536463742	0	0	9.383185543	0	8.343889945	4.531140791	0	6.471006103	6.635281382	7.620805607	0	0	8.071855305	0	9.257686343
HSC1	0	12.98507483	0	11.39378244	7.836565206	5.297342416	9.632728773	5.189251259	0	0	0	9.826588613	1.381527439	0	7.097998277	0	0	0	7.537472107	0	0	0	0	0	0	0	0	0	0	11.078854	0	9.247819524	8.382931614	0	0	9.589199846	3.56605119	0	0	7.063515288	14.01118514	9.613330804	6.407536089	9.509622042	7.930871458	0	0	7.384171686	11.54859308	5.486546745	10.2778531	8.574644578	12.58063222	0	0	0	0	7.305523551	9.665207017	1.658419718	0	0	0	3.107957479	0	0	5.410199933	0	9.94199216	11.04221334	0	0	7.798682271	0	0	0	4.403900765	0	8.88721831	11.24020736	0	0	9.512210309	8.619669351	0	0	7.470361507	1.619887886	11.2141885	0	0	0	0	0	0	0	7.615359734	0	0	0	10.15144855	0	5.581154202	8.500589809	2.660334388	11.76130174	6.091451229	6.378164022	7.668675577	0	0	9.357908949	0	7.969413783	8.633310664	0	7.951762551	6.764129989	0	2.975823856	0	7.488481514	0	9.923045425	9.897832878	1.31711591	7.325597047	0	7.13509675	0	0	9.271014892	7.849278733	0	8.265444592	9.471124437	7.077106613	0	8.424339705	0	4.927529057	11.16375147	9.65809137	8.953511214	7.524415133	0	7.940334162	0	9.337518927	1.305673933	11.02799853	7.136778468	0	0	0	3.498681579	0	9.468874006	0	0	0	0	9.894180379	0	8.432733357	7.319039505	4.343558812	9.224659363	0	8.637953333	8.715122524	8.34799413	9.683384763	0	6.608117888
HSC1	7.455897877	12.17704254	0	11.09250022	7.393461272	5.424629176	9.655238037	0	0	0	0	11.3412961	7.57356935	0	8.079449619	8.309905014	7.895582011	3.049566694	8.185026246	0	0	0	6.287470743	0	0	0	0	0	0	10.20905738	8.564252764	0	0	8.535667563	8.828939279	10.97254811	0	6.562988068	4.316013204	7.500521426	13.92770832	0	0	10.53562844	8.51840601	0	0	0	10.76805604	0	12.11252543	10.34374341	11.58807463	0	0	0	6.940182662	0	10.20253172	6.624899662	6.187625016	0	9.537078489	1.445881503	0	8.427882229	0	0	9.540649817	9.937889863	0	6.630979788	0	0	0	0	0	5.569491518	9.994206468	11.06053794	4.680678478	0	7.438483864	6.741965666	0	5.613641725	8.707566176	0	12.55070518	10.46873752	0	0	7.742570072	0	1.831952281	0	9.087352621	0	6.05186675	0	10.65315287	7.330072757	3.661067276	8.197905533	6.803793716	11.37361812	0	5.603868902	0	0	3.105420748	8.737001945	8.26086048	6.233424846	0	1.434751853	7.973446017	7.104423272	2.977979986	0	2.827465621	8.078911512	8.766086229	9.731023647	8.491133772	1.792635217	0	9.294773238	0	0	0	9.315352896	7.574869114	6.283122784	8.244022258	0	0	6.240505495	10.12860236	5.482137339	2.468855756	11.65525873	8.150974298	0	9.097690754	0	0	0	11.44533058	9.363570175	12.36843149	0	0	0	7.304074087	2.327265742	0	9.963389799	0	0	0	0	7.209111271	0	6.868148201	7.807764329	4.433685731	7.735244723	0	8.417374314	6.880136656	9.346572603	0.91843625	0	6.982903027
HSC1	0	12.40112631	0	10.51712555	9.388012174	6.402203504	9.137756526	0	0	0	0	10.18835741	7.36473394	0	0	6.422293006	0	5.486429629	6.658284081	0	0	0	0	0	6.975952431	0	0	0	0	11.51309971	10.42667563	10.51292977	0	0	12.16698598	10.65330053	0	8.882820493	4.543894037	0	14.30708943	6.29070836	7.441266779	10.50550027	9.312174721	0	0	3.223575487	9.453292217	1.329406949	11.9187526	10.40378379	11.47035489	0	5.330368379	0	0	7.470544243	12.17556431	4.098664497	0	3.453535304	11.99461284	2.736021203	0	0	8.078741995	0	9.794837571	9.321215677	0	0	0	0	0	1.297130756	8.545664212	0	7.146264847	11.28392044	6.858996992	0	5.692518404	9.267571492	0	0	8.073289284	2.373584137	10.49282276	10.92163339	10.33172262	0	0	7.051602438	0	2.375978318	9.875909847	6.938751316	0	0	13.12490488	10.15963099	3.530222193	8.486156838	5.852351255	11.98016709	0	7.567683749	0	0	3.466694114	10.17868624	8.675936114	0	8.879429601	0	8.181574753	9.415815401	4.460063253	4.418250814	2.300171528	9.610184736	9.638896726	10.75688857	10.08510821	0	10.10140322	10.50663843	7.907004094	0	6.045149899	7.099086896	7.656666023	9.087215318	9.628972566	0	0	0	10.63003517	5.204083036	0	11.70511369	9.144516525	8.925279331	7.277822626	0	0	0	10.05591668	8.412100992	13.13403983	0	0	0	6.207383792	8.099443807	0	8.572102076	8.148114622	0	6.488269884	0	0	0	8.228190319	8.568218117	1.468153483	9.529345815	0	9.323842047	0	8.406762559	4.760216689	0	9.069101554
